id,nome
FRA,France
VEN,Venezuela
IRL,Ireland
USA,USA
CAN,Canada
GBR,UK
DEU,Germany
SWE,Sweden
BRA,Brazil
ARG,Argentina
MEX,Mexico
BEL,Belgium
ESP,Spain
NOR,Norway
PRT,Portugal
AUT,Austria
CHE,Switzerland
FIN,Finland
ITA,Italy
POL,Poland
DNK,Denmark
